seat,waitlistSeat
"(25,25,0)","(5,5,0)"
"(25,25,0)","(10,10,0)"
"(25,25,0)","(5,3,2)"
"(175,175,0)","(0,0,0)"
"(25,25,0)","(5,4,1)"
"(25,25,0)","(5,2,3)"
"(25,25,0)","(5,2,3)"
"(25,25,0)","(5,4,1)"
"(25,25,0)","(5,5,0)"
"(25,25,0)","(5,5,0)"
"(25,25,0)","(5,4,1)"
"(50,45,5)","(0,0,0)"
"(25,25,0)","(5,0,5)"
"(25,20,5)","(5,0,5)"
"(10,3,7)","(0,0,0)"
"(30,14,16)","(0,0,0)"
"(15,8,7)","(5,0,5)"
"(12,1,11)","(5,0,5)"
"(25,2,23)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,2,8)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,2,8)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(20,1,19)","(0,0,0)"
"(25,2,23)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(10,3,7)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(25,1,24)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(20,4,16)","(0,0,0)"
"(20,5,15)","(0,0,0)"
"(160,44,116)","(0,0,0)"
"(25,1,24)","(0,0,0)"
"(10,4,6)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,2,8)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,6,4)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,2,8)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(25,1,24)","(0,0,0)"
"(10,3,7)","(0,0,0)"
"(20,2,18)","(0,0,0)"
"(20,1,19)","(0,0,0)"
"(25,2,23)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(10,2,8)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(40,14,26)","(0,0,0)"
"(10,2,8)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(20,6,14)","(0,0,0)"
"(25,1,24)","(0,0,0)"
"(100,0,100)","(0,0,0)"
"(10,2,8)","(0,0,0)"
"(100,0,100)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(20,1,19)","(0,0,0)"
"(100,1,99)","(0,0,0)"
"(20,4,16)","(0,0,0)"
"(105,46,59)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(1,0,1)","(0,0,0)"
