crn,seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
26729,10,0,10,0,0,0
57328,5,0,5,0,0,0
80468,10,0,10,0,0,0
53785,1,0,1,0,0,0
52843,10,0,10,0,0,0
31666,24,23,1,5,0,5
29366,10,0,10,0,0,0
95019,125,106,19,0,0,0
92763,15,11,4,0,0,0
59152,10,0,10,0,0,0
28154,4,1,3,0,0,0
89037,10,3,7,0,0,0
32375,10,0,10,0,0,0
87736,10,0,10,5,0,5
58553,10,0,10,10,0,10
22305,10,0,10,0,0,0
29128,10,0,10,0,0,0
59314,10,0,10,0,0,0
86176,5,1,4,0,0,0
59154,10,1,9,0,0,0
90576,60,60,0,0,0,0
27742,10,0,10,0,0,0
90110,10,0,10,0,0,0
33171,20,0,20,0,0,0
54051,5,1,4,0,0,0
24555,10,0,10,0,0,0
29129,10,0,10,0,0,0
54324,10,0,10,0,0,0
94673,5,5,0,0,0,0
91926,20,20,0,10,0,10
60512,10,1,9,0,0,0
33735,10,0,10,0,0,0
87340,10,0,10,0,0,0
32866,5,4,1,0,0,0
58179,10,0,10,0,0,0
23243,10,0,10,0,0,0
28614,80,72,8,15,0,15
53171,10,0,10,0,0,0
88694,10,0,10,0,0,0
59847,5,0,5,0,0,0
91927,20,20,0,10,0,10
90104,10,0,10,0,0,0
59155,10,0,10,0,0,0
22657,10,0,10,0,0,0
60012,10,1,9,0,0,0
91966,10,0,10,0,0,0
27165,8,1,7,0,0,0
29367,10,0,10,0,0,0
53855,10,0,10,0,0,0
28615,106,105,0,15,13,2
94910,5,6,0,0,0,0
59979,5,0,5,0,0,0
59156,10,0,10,0,0,0
83558,10,7,3,0,0,0
28146,10,0,10,0,0,0
91928,20,20,0,10,0,10
82659,10,1,9,0,0,0
54568,20,0,20,0,0,0
32971,15,4,11,0,0,0
52844,10,0,10,0,0,0
31668,24,24,0,5,4,1
22643,10,0,10,0,0,0
59978,5,0,5,0,0,0
59985,10,0,10,0,0,0
90579,109,103,6,15,0,15
26349,10,0,10,0,0,0
87339,15,0,15,0,0,0
85259,5,2,3,0,0,0
85300,10,0,10,0,0,0
59315,10,0,10,0,0,0
53759,10,0,10,0,0,0
21398,10,0,10,0,0,0
59844,1,0,1,0,0,0
31669,24,23,1,5,0,5
59157,10,0,10,0,0,0
82881,100,15,85,0,0,0
91918,16,16,0,5,0,5
25174,10,0,10,0,0,0
89637,15,15,0,0,0,0
83766,10,0,10,0,0,0
53502,10,0,10,0,0,0
53995,10,0,10,0,0,0
60060,5,0,5,0,0,0
22743,10,0,10,0,0,0
59158,10,1,9,0,0,0
28621,90,86,4,10,0,10
91919,16,16,0,5,0,5
89035,10,1,9,0,0,0
23454,10,0,10,0,0,0
90131,0,0,0,0,0,0
91967,10,0,10,0,0,0
52845,10,0,10,0,0,0
54420,5,0,5,0,0,0
29368,10,0,10,0,0,0
28617,150,119,31,20,0,20
59159,10,0,10,0,0,0
91920,16,16,0,5,0,5
88544,10,0,10,0,0,0
93964,35,0,35,0,0,0
27473,10,1,9,0,0,0
83049,10,0,10,0,0,0
60696,5,1,4,0,0,0
59316,10,0,10,0,0,0
55115,5,0,5,0,0,0
20430,10,0,10,0,0,0
28619,170,170,0,40,38,2
59160,10,0,10,0,0,0
88292,40,0,40,0,0,0
94943,5,2,3,0,0,0
28135,10,0,10,0,0,0
59481,1,0,1,0,0,0
81618,10,0,10,0,0,0
52846,10,0,10,0,0,0
91921,16,16,0,5,0,5
60815,10,0,10,0,0,0
59161,10,0,10,0,0,0
31670,24,23,0,15,11,4
29369,10,0,10,0,0,0
84228,10,3,7,0,0,0
60880,5,0,5,0,0,0
26202,10,0,10,0,0,0
83172,10,0,10,0,0,0
59317,10,1,9,0,0,0
94047,16,15,1,5,0,5
57539,10,0,10,0,0,0
29370,10,0,10,0,0,0
59162,10,1,9,0,0,0
31671,24,24,0,15,9,6
89509,10,0,10,0,0,0
28129,10,0,10,0,0,0
60743,5,0,5,0,0,0
91968,10,0,10,0,0,0
59326,10,0,10,0,0,0
94048,16,16,0,5,0,5
55930,10,0,10,0,0,0
22017,10,0,10,0,0,0
60875,10,1,9,0,0,0
33412,24,24,0,15,11,4
82828,10,0,10,0,0,0
80469,10,0,10,0,0,0
23053,10,0,10,0,0,0
22110,10,0,10,0,0,0
91539,35,31,4,10,0,10
59940,10,0,10,0,0,0
60506,10,1,9,0,0,0
33700,0,7,0,0,0,0
58118,10,0,10,0,0,0
85767,10,0,10,0,0,0
91969,10,0,10,0,0,0
26201,15,0,15,0,0,0
90580,110,92,18,20,0,20
55771,10,0,10,0,0,0
29371,10,0,10,0,0,0
59163,10,0,10,0,0,0
83237,30,1,29,0,0,0
54310,10,0,10,0,0,0
91970,10,0,10,0,0,0
22506,100,11,89,0,0,0
33701,0,3,0,0,0,0
58103,10,0,10,0,0,0
23539,10,0,10,0,0,0
59164,10,0,10,0,0,0
54957,10,0,10,0,0,0
83725,10,0,10,0,0,0
95020,48,36,12,0,0,0
82340,10,2,8,0,0,0
32367,5,0,5,0,0,0
33702,0,7,0,0,0,0
53740,10,0,10,0,0,0
22306,10,0,10,0,0,0
86003,10,1,9,0,0,0
55195,10,1,9,0,0,0
27472,10,0,10,0,0,0
59165,10,1,9,0,0,0
91922,24,24,0,5,0,5
82442,10,0,10,0,0,0
56203,10,0,10,0,0,0
32673,25,25,0,5,1,4
21034,10,0,10,0,0,0
55480,10,0,10,0,0,0
88578,10,0,10,0,0,0
91923,24,23,1,5,0,5
91971,10,0,10,0,0,0
27088,10,0,10,0,0,0
59166,10,0,10,0,0,0
32674,30,23,7,5,0,5
60011,10,0,10,0,0,0
22735,10,0,10,0,0,0
53503,10,0,10,0,0,0
85844,20,0,20,0,0,0
26866,40,0,40,0,0,0
84136,10,1,9,0,0,0
59167,10,0,10,0,0,0
