courseTerm|crn|seatCapacity|seatActual|seatRemaining|waitlistCapacity|waitlistActual|waitlistRemaining
202208|82182|5|1|4|0|0|0
202302|30161|12|0|12|0|0|0
202205|56832|10|0|10|0|0|0
202208|85448|12|12|0|0|0|0
202205|57231|25|21|4|0|0|0
202302|30027|37|0|37|0|0|0
202205|57368|25|18|7|0|0|0
202205|53705|10|0|10|0|0|0
202208|82995|10|5|5|0|0|0
202208|85449|12|12|0|0|0|0
202302|30162|12|0|12|0|0|0
202205|56476|50|27|23|10|0|10
202205|57365|10|2|8|0|0|0
202302|30028|37|0|37|0|0|0
202205|56127|10|0|10|0|0|0
202208|89189|90|0|90|0|0|0
202208|85450|12|10|2|0|0|0
202208|85883|5|0|5|0|0|0
202302|30163|12|0|12|0|0|0
202205|57488|10|2|8|0|0|0
202205|55627|45|39|6|10|0|10
202205|54600|10|1|9|0|0|0
202302|32338|80|0|80|0|0|0
202302|33120|228|0|228|0|0|0
202208|90828|20|13|7|0|0|0
202208|85451|12|12|0|0|0|0
202205|57367|10|2|8|0|0|0
202302|30164|12|0|12|0|0|0
202208|82179|5|4|1|0|0|0
202205|57437|5|2|3|0|0|0
202205|57372|25|25|0|0|0|0
202302|30206|20|0|20|0|0|0
202302|33938|12|0|12|0|0|0
202208|91701|12|12|0|0|0|0
202208|90827|20|15|5|0|0|0
202302|30165|12|0|12|0|0|0
202205|57559|5|1|4|0|0|0
202208|85880|5|0|5|0|0|0
202205|57201|32|10|22|5|0|5
202302|30205|20|0|20|0|0|0
202205|56332|40|17|23|0|0|0
202208|92448|20|15|5|0|0|0
202302|33925|24|0|24|5|0|5
202205|55699|25|0|25|0|0|0
202302|32109|12|0|12|0|0|0
202208|91702|12|13|0|0|0|0
202205|55624|10|1|9|0|0|0
202205|54124|50|27|23|0|0|0
202302|30204|20|0|20|0|0|0
202302|32110|11|0|11|0|0|0
202208|90830|20|15|5|0|0|0
202302|33927|24|0|24|5|0|5
202205|55625|10|6|4|0|0|0
202208|91705|12|13|0|0|0|0
202205|56673|50|13|37|0|0|0
202205|52809|1|0|1|0|0|0
202302|32313|15|0|15|0|0|0
202302|25077|135|0|135|0|0|0
202208|91706|12|12|0|0|0|0
202302|33928|24|0|24|5|0|5
202208|90751|15|12|3|0|0|0
202205|55626|30|11|19|0|0|0
202205|52793|2|0|2|0|0|0
202205|56333|65|13|52|0|0|0
202302|30207|20|0|20|0|0|0
202208|91707|12|11|1|0|0|0
202302|31251|10|0|10|0|0|0
202205|57566|10|1|9|0|0|0
202302|33929|24|0|24|5|0|5
202208|90826|20|14|6|0|0|0
202205|50339|10|0|10|0|0|0
202205|52447|5|0|5|0|0|0
202205|57469|40|5|35|0|0|0
202302|30021|78|0|78|0|0|0
202205|56123|10|0|10|0|0|0
202302|27451|10|0|10|0|0|0
202208|87678|90|70|20|0|0|0
202205|50970|10|0|10|0|0|0
202208|93005|12|11|1|0|0|0
202302|33930|24|0|24|5|0|5
202205|56107|5|0|5|0|0|0
202205|54125|50|17|33|0|0|0
202205|56124|10|0|10|0|0|0
202205|50971|10|0|10|0|0|0
202302|30022|72|0|72|0|0|0
202208|92457|15|10|5|0|0|0
202302|32416|10|0|10|0|0|0
202302|33931|24|0|24|5|0|5
202208|93006|11|0|11|0|0|0
202205|56083|5|0|5|0|0|0
202205|57554|1|1|0|0|0|0
202205|50972|10|0|10|0|0|0
202302|32314|100|0|100|0|0|0
202205|54426|40|10|30|0|0|0
202302|27816|10|0|10|0|0|0
202208|90831|15|11|4|0|0|0
202205|57555|1|1|0|0|0|0
202302|33932|24|0|24|5|0|5
202208|85464|135|128|7|0|0|0
202205|55545|11|6|5|0|0|0
202302|30511|15|0|15|0|0|0
202205|56307|65|23|42|0|0|0
202205|50979|10|0|10|0|0|0
202302|26151|10|0|10|0|0|0
202208|90776|15|13|2|0|0|0
202205|56117|10|0|10|0|0|0
202205|53947|5|0|5|0|0|0
202302|33933|12|0|12|5|0|5
202208|88353|10|0|10|0|0|0
202302|30510|15|0|15|0|0|0
202302|27803|10|0|10|0|0|0
202205|56118|10|0|10|0|0|0
202208|90739|15|13|2|0|0|0
202205|54463|40|34|6|0|0|0
202205|51695|10|0|10|0|0|0
202208|88921|25|0|25|0|0|0
202205|55927|1|0|1|0|0|0
202302|33934|12|0|12|5|0|5
202302|30507|15|0|15|0|0|0
202208|90750|15|13|2|0|0|0
202302|27797|10|0|10|0|0|0
202205|55635|10|0|10|0|0|0
202205|54459|65|22|43|0|0|0
202208|88842|10|0|10|0|0|0
202205|52386|10|0|10|0|0|0
202205|53731|3|0|3|0|0|0
202205|52475|30|5|25|0|0|0
202302|33361|109|0|109|0|0|0
202302|33121|200|0|200|0|0|0
202208|89418|30|28|2|0|0|0
202205|52486|10|0|10|0|0|0
202205|55637|10|0|10|0|0|0
202302|22756|10|0|10|0|0|0
202208|86763|10|0|10|0|0|0
202205|55153|50|46|4|0|0|0
202302|33122|168|0|168|0|0|0
202302|32335|75|0|75|0|0|0
202205|56933|1|0|1|0|0|0
202208|89419|35|27|8|0|0|0
202205|55638|10|0|10|0|0|0
202302|24099|10|0|10|0|0|0
202205|51965|10|0|10|0|0|0
202302|33916|24|0|24|5|0|5
202205|57370|40|3|37|0|0|0
202208|88829|10|0|10|0|0|0
202205|53784|1|0|1|0|0|0
202302|33389|12|0|12|5|0|5
202208|92976|300|295|5|0|0|0
202302|30208|20|0|20|0|0|0
202205|50973|10|0|10|0|0|0
202208|80360|65|29|36|0|0|0
202302|22457|25|0|25|0|0|0
202205|55639|10|0|10|0|0|0
202302|33917|24|0|24|5|0|5
202302|33560|8|0|8|5|0|5
202208|94126|72|64|8|0|0|0
202208|88823|10|0|10|0|0|0
202205|57439|55|19|36|0|0|0
202302|27897|10|0|10|0|0|0
202205|52621|10|0|10|0|0|0
202205|56520|5|0|5|0|0|0
202302|32315|15|0|15|0|0|0
202208|81705|110|72|38|0|0|0
202302|33919|24|0|24|5|0|5
202205|55640|10|2|8|0|0|0
202302|33562|12|0|12|5|0|5
202208|93544|24|24|0|5|0|5
202205|50974|10|0|10|0|0|0
202208|80116|90|87|3|0|0|0
202205|55541|40|38|2|0|0|0
202302|26845|10|0|10|0|0|0
202208|82968|10|0|10|0|0|0
202302|30209|20|0|20|0|0|0
202205|54308|1|0|1|0|0|0
202302|33920|24|0|24|5|0|5
202205|55641|10|0|10|0|0|0
202302|26050|15|0|15|10|0|10
202208|93553|24|23|1|5|0|5
202302|32707|10|0|10|0|0|0
202208|90829|75|56|19|0|0|0
202208|84400|10|1|9|0|0|0
202205|55819|10|0|10|0|0|0
202205|57719|5|1|4|0|0|0
202205|57735|2|2|0|0|0|0
202302|33921|24|0|24|5|0|5
202302|32316|15|0|15|0|0|0
202208|93554|24|24|0|5|0|5
202205|55642|10|0|10|0|0|0
202302|27452|10|0|10|0|0|0
202302|33576|20|0|20|5|0|5
202208|82636|25|0|25|0|0|0
202208|90832|100|0|100|0|0|0
202205|51457|10|2|8|0|0|0
202205|57740|2|2|0|0|0|0
202205|54230|1|0|1|0|0|0
202208|94077|24|24|0|5|0|5
202302|30189|11|0|11|3|0|3
202302|33922|24|0|24|5|0|5
202205|55643|10|0|10|0|0|0
202208|88937|10|0|10|0|0|0
202302|24045|10|0|10|0|0|0
202205|51733|10|0|10|0|0|0
202208|94579|15|11|4|0|0|0
202205|55644|10|0|10|0|0|0
202302|33123|168|0|168|0|0|0
202302|28841|10|0|10|0|0|0
202208|93545|24|24|0|5|0|5
202205|55403|1|0|1|0|0|0
202205|57835|10|1|9|0|0|0
202302|26871|10|0|10|0|0|0
202208|87594|10|0|10|0|0|0
202302|30518|15|0|15|0|0|0
202205|54738|10|0|10|0|0|0
202208|90833|15|12|3|0|0|0
202302|29979|112|0|112|0|0|0
202302|20416|10|0|10|0|0|0
202302|30251|10|0|10|0|0|0
202208|93546|24|24|0|5|0|5
202205|55645|10|0|10|0|0|0
202208|93003|10|0|10|0|0|0
202302|32909|10|0|10|0|0|0
202205|57530|10|0|10|0|0|0
202205|57515|5|1|4|0|0|0
202205|52931|10|1|9|0|0|0
202208|94467|15|12|3|0|0|0
202208|93547|10|10|0|5|0|5
202302|30689|20|0|20|12|0|12
202205|55646|10|0|10|0|0|0
202302|28842|10|0|10|0|0|0
202208|89374|50|47|3|0|0|0
202208|88354|10|0|10|0|0|0
202302|27034|10|0|10|0|0|0
202302|30026|185|0|185|10|0|10
202205|57609|10|1|9|0|0|0
202205|53990|1|0|1|0|0|0
202205|51700|10|0|10|0|0|0
202208|90834|15|11|4|0|0|0
202208|93548|14|14|0|5|0|5
202302|30696|20|0|20|12|0|12
202302|20417|10|0|10|0|0|0
202205|57541|1|1|0|0|0|0
202205|56084|5|0|5|0|0|0
202205|55647|10|0|10|0|0|0
202208|94351|10|0|10|0|0|0
202302|22740|10|0|10|0|0|0
202302|30631|20|0|20|0|0|0
202208|83737|50|47|3|0|0|0
202205|50975|10|0|10|0|0|0
202208|90764|15|11|4|0|0|0
202208|93549|14|14|0|5|0|5
202302|30698|24|0|24|12|0|12
202302|20418|10|0|10|0|0|0
202205|52625|10|0|10|0|0|0
202205|57516|2|2|0|0|0|0
202302|26943|10|0|10|0|0|0
202208|84348|10|0|10|0|0|0
202302|26521|10|0|10|0|0|0
202205|50976|10|0|10|0|0|0
202208|85670|65|65|0|0|0|0
202208|86611|34|13|21|20|0|20
202205|55648|10|0|10|0|0|0
202208|93550|24|24|0|5|0|5
202302|30699|24|0|24|12|0|12
202205|53126|10|2|8|0|0|0
202302|20419|10|0|10|0|0|0
202205|56200|5|0|5|0|0|0
202208|90735|15|13|2|0|0|0
202302|32568|20|0|20|0|0|0
202302|31250|10|0|10|0|0|0
202208|93405|24|15|9|10|0|10
202205|55649|10|0|10|0|0|0
202205|51263|10|0|10|0|0|0
202302|32057|24|0|24|5|0|5
202208|87623|10|0|10|0|0|0
202205|53879|10|0|10|0|0|0
202208|93551|14|13|1|5|0|5
202205|53670|5|0|5|0|0|0
202302|26254|10|0|10|5|0|5
202208|92348|15|12|3|0|0|0
202302|30244|5|0|5|0|0|0
202302|27453|10|0|10|0|0|0
202205|53157|10|0|10|0|0|0
202205|55650|10|0|10|0|0|0
202208|89976|16|8|8|0|0|0
202302|29980|120|0|120|0|0|0
202208|87825|10|0|10|0|0|0
202205|54228|10|0|10|0|0|0
