courseTerm,crn,seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
202108,90574,80,77,3,0,0,0
202105,59312,10,1,9,0,0,0
202105,60213,40,31,9,0,0,0
202202,30862,12,11,1,0,0,0
202202,30629,112,112,0,0,0,0
202108,90887,30,25,5,0,0,0
202202,31367,15,9,6,0,0,0
202108,94990,288,286,2,0,0,0
202105,54055,10,2,8,0,0,0
202105,59049,10,0,10,0,0,0
202202,33397,12,9,3,0,0,0
202105,57062,50,14,36,0,0,0
202105,54361,10,0,10,0,0,0
202108,91929,24,21,3,5,0,5
202202,33653,75,6,69,0,0,0
202108,90888,35,19,16,0,0,0
202202,33338,192,143,49,0,0,0
202105,59934,10,2,8,0,0,0
202108,86058,11,11,0,0,0,0
202105,60639,50,24,26,0,0,0
202202,33398,11,3,8,0,0,0
202108,91930,24,18,6,5,0,5
202105,57755,10,0,10,0,0,0
202202,30928,20,8,12,0,0,0
202108,80393,65,42,23,0,0,0
202202,31655,20,20,0,12,0,12
202105,60214,55,40,15,0,0,0
202108,93939,11,11,0,0,0,0
202202,25224,135,130,5,0,0,0
202105,55707,10,0,10,0,0,0
202108,91931,24,18,6,5,0,5
202202,33631,15,5,10,0,0,0
202108,81866,110,79,31,0,0,0
202202,31657,24,24,0,12,1,11
202108,93940,11,11,0,0,0,0
202105,58871,40,20,20,0,0,0
202202,32376,10,0,10,0,0,0
202105,54317,10,0,10,0,0,0
202108,80120,80,81,0,0,0,0
202108,91932,24,20,4,5,0,5
202202,30929,20,7,13,0,0,0
202202,31662,20,20,0,12,0,12
202105,57063,50,16,34,0,0,0
202108,93943,11,11,0,0,0,0
202105,53497,10,0,10,0,0,0
202202,33632,15,9,6,0,0,0
202202,27740,10,0,10,0,0,0
202108,94991,24,24,0,0,0,0
202108,92856,50,47,3,0,0,0
202202,31664,24,24,0,12,0,12
202105,57402,40,18,22,0,0,0
202108,93944,11,11,0,0,0,0
202105,59935,10,2,8,0,0,0
202105,56849,5,0,5,0,0,0
202108,92859,15,13,2,0,0,0
202202,33734,10,0,10,0,0,0
202108,94993,24,23,1,0,0,0
202105,53498,10,0,10,0,0,0
202202,30901,11,9,0,3,2,1
202105,60150,65,38,27,0,0,0
202202,31665,24,24,0,12,0,12
202105,59568,1,0,1,0,0,0
202105,59926,10,2,8,0,0,0
202108,92861,15,13,2,0,0,0
202105,53853,10,0,10,0,0,0
202202,28147,10,0,10,0,0,0
202202,31383,15,14,1,0,0,0
202108,93945,11,11,0,0,0,0
202105,57447,40,13,27,0,0,0
202108,94994,24,24,0,0,0,0
202202,33340,24,24,0,5,0,5
202105,59927,10,2,8,0,0,0
202108,92863,15,13,2,0,0,0
202105,56598,3,0,3,0,0,0
202202,30981,10,7,3,0,0,0
202202,26350,10,0,10,0,0,0
202108,86074,110,111,0,0,0,0
202105,57443,60,53,7,0,0,0
202108,94995,24,24,0,0,0,0
202105,55960,10,0,10,0,0,0
202202,33341,24,23,1,5,0,5
202105,59066,10,0,10,0,0,0
202108,92745,15,13,2,0,0,0
202202,30689,185,149,36,10,0,10
202202,28134,10,0,10,0,0,0
202105,53499,10,1,9,0,0,0
202202,33342,24,24,0,5,0,5
202108,89506,10,0,10,0,0,0
202105,60918,1,1,0,0,0,0
202105,60862,0,1,0,0,0,0
202108,94996,24,24,0,0,0,0
202105,59068,10,0,10,0,0,0
202108,86307,50,38,12,0,0,0
202202,30906,8,8,0,2,0,2
202202,28128,10,0,10,0,0,0
202108,94997,24,24,0,0,0,0
202105,53500,10,0,10,0,0,0
202202,33343,24,24,0,5,0,5
202105,56655,1,0,1,0,0,0
202108,90212,25,0,25,0,0,0
202105,58308,40,14,26,0,0,0
202108,94704,50,48,2,0,0,0
202105,59069,10,0,10,0,0,0
202202,22814,10,0,10,0,0,0
202202,31571,20,16,4,0,0,0
202105,56365,10,0,10,0,0,0
202108,90122,10,0,10,0,0,0
202202,33344,24,24,0,5,0,5
202108,90557,50,0,50,0,0,0
202108,94998,14,14,0,0,0,0
202105,60472,5,0,5,0,0,0
202105,59070,10,0,10,0,0,0
202105,60279,55,30,25,0,0,0
202202,24213,10,0,10,0,0,0
202105,58691,10,1,9,0,0,0
202202,27202,10,0,10,0,0,0
202202,33345,24,24,0,5,0,5
202105,57271,1,0,1,0,0,0
202105,59071,10,1,9,0,0,0
202105,60280,30,4,26,0,0,0
202108,92682,15,12,3,0,0,0
202108,87579,10,0,10,0,0,0
202202,22505,25,0,25,0,0,0
202105,55592,10,0,10,0,0,0
202202,31384,10,0,10,0,0,0
202202,30630,120,77,43,0,0,0
202108,94703,15,12,3,0,0,0
202105,59072,10,0,10,0,0,0
202108,90109,10,0,10,0,0,0
202105,55855,5,0,5,0,0,0
202105,60218,55,15,40,0,0,0
202202,28233,10,0,10,0,0,0
202108,94999,15,15,0,0,0,0
202105,54063,10,0,10,0,0,0
202202,33898,20,14,6,0,0,0
202202,33339,192,74,118,0,0,0
202105,58873,40,6,34,0,0,0
202105,57181,1,0,1,0,0,0
202108,90819,63,56,7,0,0,0
202108,90103,10,0,10,0,0,0
202108,92763,15,11,4,0,0,0
202105,59073,10,1,9,0,0,0
202202,27087,10,0,10,0,0,0
202108,95000,24,24,0,0,0,0
202105,55716,10,0,10,0,0,0
202202,30974,5,3,2,0,0,0
202105,54479,10,0,10,0,0,0
202105,58671,1,0,1,0,0,0
202108,86176,5,1,4,0,0,0
202108,84151,63,56,7,0,0,0
202108,83252,10,0,10,0,0,0
202105,59074,10,0,10,0,0,0
202108,95001,15,15,0,0,0,0
202202,34055,10,0,10,0,0,0
202202,28154,4,1,3,0,0,0
202105,55347,10,0,10,0,0,0
202105,56896,1,0,1,0,0,0
202108,94673,5,5,0,0,0,0
202108,95002,24,24,0,0,0,0
202108,84902,10,0,10,0,0,0
202108,87378,20,20,0,10,0,10
202202,27741,10,0,10,0,0,0
202105,59075,10,1,9,0,0,0
202202,33042,16,6,10,5,0,5
202105,59874,5,0,5,0,0,0
202202,33171,20,0,20,0,0,0
202105,54106,10,0,10,0,0,0
202108,88694,10,0,10,0,0,0
202108,95003,24,24,0,0,0,0
202108,82880,25,0,25,0,0,0
202108,91709,16,8,8,0,0,0
202105,59076,10,0,10,0,0,0
202202,33040,16,10,6,10,0,10
202202,28558,120,114,6,15,0,15
202202,24159,10,0,10,0,0,0
202202,32866,5,5,0,0,0,0
202105,60025,5,0,5,0,0,0
202105,55921,10,2,8,0,0,0
202108,94910,5,6,0,0,0,0
202108,95004,10,10,0,0,0,0
202108,90228,10,0,10,0,0,0
202105,59077,10,0,10,0,0,0
202202,29347,24,24,0,5,0,5
202105,54541,10,0,10,0,0,0
202202,27165,8,2,6,0,0,0
202202,26238,17,15,2,10,0,10
202202,27115,10,0,10,0,0,0
202105,56775,10,1,9,0,0,0
202105,56530,5,0,5,0,0,0
202108,85259,5,2,3,0,0,0
202108,88543,10,0,10,0,0,0
202108,95005,9,9,0,0,0,0
202105,59078,10,0,10,0,0,0
202105,53854,10,0,10,0,0,0
202202,29348,24,24,0,5,0,5
202202,32971,15,4,11,0,0,0
202105,57179,10,0,10,0,0,0
202105,58076,1,0,1,0,0,0
202108,89637,15,15,0,0,0,0
202108,95007,9,8,1,0,0,0
202202,33038,10,9,1,5,0,5
202202,27294,10,0,10,0,0,0
202108,89507,10,0,10,0,0,0
202105,59079,10,1,9,0,0,0
202105,55952,10,0,10,0,0,0
202202,31666,24,20,4,5,0,5
202108,91711,16,8,8,0,0,0
202202,22797,10,0,10,0,0,0
202108,90131,0,0,0,0,0,0
202105,54334,10,0,10,0,0,0
202105,60879,5,1,4,0,0,0
202108,93511,80,62,18,0,0,0
202108,84847,10,0,10,0,0,0
202202,33552,10,10,0,5,1,4
202105,59313,10,0,10,0,0,0
202105,59080,10,0,10,0,0,0
202202,29128,10,0,10,0,0,0
202108,94874,20,9,11,0,0,0
202202,26729,10,0,10,0,0,0
202108,93964,35,0,35,0,0,0
202105,60315,10,8,2,0,0,0
202105,53954,20,5,15,0,0,0
202108,95008,288,125,163,0,0,0
202108,88577,10,0,10,0,0,0
202202,29364,10,0,10,0,0,0
202105,52842,10,0,10,0,0,0
202105,59081,10,0,10,0,0,0
202108,91964,10,0,10,0,0,0
202202,29129,10,0,10,0,0,0
202202,32375,10,0,10,0,0,0
202108,94943,5,2,3,0,0,0
202105,53785,1,0,1,0,0,0
202108,95009,193,188,5,0,0,0
202105,58645,1,0,1,0,0,0
202108,88808,10,0,10,0,0,0
202202,20426,10,0,10,0,0,0
202105,52843,10,0,10,0,0,0
202105,59082,10,0,10,0,0,0
202202,28614,80,64,16,15,0,15
202202,27742,10,0,10,0,0,0
202105,56833,2,0,2,0,0,0
202108,95010,24,22,2,0,0,0
202105,58553,10,0,10,10,0,10
202108,83235,10,0,10,0,0,0
202108,80465,10,0,10,0,0,0
202202,29365,10,0,10,0,0,0
202105,59314,10,0,10,0,0,0
202105,59083,10,0,10,0,0,0
202202,28615,106,105,1,15,0,15
202108,95011,24,24,0,0,0,0
202105,57328,5,0,5,0,0,0
202108,91965,10,0,10,0,0,0
202108,88064,10,0,10,0,0,0
202105,54051,5,1,4,0,0,0
202202,20427,10,0,10,0,0,0
202202,33735,10,0,10,0,0,0
202105,54324,10,0,10,0,0,0
202105,59084,10,0,10,0,0,0
202202,31668,24,23,1,5,0,5
202108,95012,24,24,0,0,0,0
202108,80466,10,0,10,0,0,0
202202,22657,10,0,10,0,0,0
202108,89508,10,0,10,0,0,0
202105,58179,10,0,10,0,0,0
202202,20428,10,0,10,0,0,0
202105,59085,10,0,10,0,0,0
202105,53171,10,0,10,0,0,0
202202,31669,24,22,2,5,0,5
202108,95013,24,24,0,0,0,0
202202,28146,10,0,10,0,0,0
202202,28621,88,85,3,10,0,10
202105,53855,10,0,10,0,0,0
202108,80467,10,0,10,0,0,0
202105,60012,10,1,9,0,0,0
202105,59086,10,0,10,0,0,0
202108,83544,10,0,10,0,0,0
202202,20429,10,0,10,0,0,0
202202,26349,10,0,10,0,0,0
202108,95014,24,24,0,0,0,0
202105,52844,10,0,10,0,0,0
202202,28617,150,143,7,20,0,20
202105,54568,20,0,20,0,0,0
202105,59087,10,0,10,0,0,0
202108,83064,10,0,10,0,0,0
202202,26457,10,0,10,5,0,5
202108,80468,10,0,10,0,0,0
202105,59847,5,0,5,0,0,0
202108,95015,24,24,0,0,0,0
202202,25174,10,0,10,0,0,0
202105,59315,10,0,10,0,0,0
202202,28619,174,169,0,45,21,24
202105,53759,10,0,10,0,0,0
202108,90121,10,0,10,0,0,0
202105,59088,10,0,10,0,0,0
202105,59979,5,0,5,0,0,0
202108,87736,10,0,10,5,0,5
202202,29366,10,0,10,0,0,0
202202,23454,10,0,10,0,0,0
202108,95017,23,21,2,0,0,0
202105,53502,10,0,10,0,0,0
202105,53995,10,0,10,0,0,0
202202,31670,24,24,0,15,3,12
202108,87578,10,0,10,0,0,0
202105,59089,10,0,10,0,0,0
202108,91966,10,0,10,0,0,0
202105,59978,5,0,5,0,0,0
202202,27473,10,3,7,0,0,0
202202,22305,10,0,10,0,0,0
202105,52845,10,0,10,0,0,0
202108,95018,24,24,0,0,0,0
202202,31671,24,24,0,15,1,14
202105,54420,5,0,5,0,0,0
202105,59151,10,0,10,0,0,0
202108,82659,10,1,9,0,0,0
202202,24555,10,0,10,0,0,0
202202,28135,10,0,10,0,0,0
202108,86009,10,0,10,0,0,0
202105,59844,1,0,1,0,0,0
202105,59316,10,0,10,0,0,0
202108,95019,125,106,19,0,0,0
202202,33412,24,22,0,15,5,10
202105,55115,5,0,5,0,0,0
202108,85300,10,0,10,0,0,0
202202,23243,10,0,10,0,0,0
202105,60060,5,0,5,0,0,0
202108,89037,10,3,7,0,0,0
202202,26202,10,0,10,0,0,0
202105,59152,10,0,10,0,0,0
202108,90576,60,60,0,0,0,0
202202,33700,9,10,0,0,0,0
202105,52846,10,0,10,0,0,0
202105,60815,10,0,10,0,0,0
202105,60696,5,1,4,0,0,0
202108,83766,10,0,10,0,0,0
202202,29367,10,0,10,0,0,0
202202,28129,10,0,10,0,0,0
202105,59154,10,1,9,0,0,0
202108,90043,1,0,1,0,0,0
202108,91926,20,20,0,10,0,10
202108,90110,10,0,10,0,0,0
202105,59317,10,1,9,0,0,0
202202,33701,9,9,0,0,0,0
202105,57539,10,0,10,0,0,0
202202,23053,10,0,10,0,0,0
202108,91967,10,0,10,0,0,0
202108,92997,5,1,4,0,0,0
202105,59481,1,0,1,0,0,0
202105,60512,10,1,9,0,0,0
202108,91927,20,20,0,10,0,10
202108,87340,10,0,10,0,0,0
202202,22643,10,0,10,0,0,0
202202,33702,9,9,0,0,0,0
